school_name,address,postal_code,lat,long
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,1.44263479,103.8000401
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT   ,737916,1.445890689,103.8023982
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,1.433152715,103.8329424
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7   ,768928,1.436059754,103.8297187
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,1.360583434,103.8330203
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,1.291334392,103.8244247
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,1.390369987,103.8871654
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,1.384199419,103.8414117
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53   ,569206,1.374340017,103.8515541
ANDERSON SERANGOON JUNIOR COLLEGE,1033 Upper Serangoon Road   ,534768,1.36504342,103.8870388
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,1.369321766,103.8396309
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22   ,569362,1.367337102,103.842155
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD   ,487012,1.330581262,103.9410825
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST   ,139745,1.303042552,103.7853584
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD   ,309919,1.319616492,103.8357727
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD   ,139650,1.303704093,103.7803634
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,1.309350413,103.8409503
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,1.318370545,103.8356097
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,1.363605906,103.9389409
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD   ,678117,1.368381607,103.7666875
ASSUMPTION PATHWAY SCHOOL,30 Cashew Road   ,679697,1.369670704,103.7659591
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI   ,538403,1.339954156,103.8828062
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,679944,1.383949362,103.773632
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH   ,318990,1.341790285,103.8522808
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,469317,1.323445933,103.937879
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3   ,469722,1.334519473,103.9350284
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK   ,468585,1.325136552,103.9509891
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3   ,469293,1.32415704,103.9437762
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,339948,1.321812508,103.8654042
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD   ,327919,1.324348431,103.8605183
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,109100,1.276120479,103.8086285
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,649930,1.342840138,103.7128584
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65   ,648354,1.342722163,103.7018915
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI   ,547529,1.370359944,103.8776596
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT   ,399935,1.307050611,103.8869179
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8   ,658962,1.348491111,103.7408737
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU   ,159050,1.285692831,103.8134389
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4   ,689809,1.382242434,103.7383612
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,1.3735009,103.7694173
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,598112,1.337749862,103.7668553
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,659634,1.345860548,103.7536664
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21   ,659633,1.345733055,103.7522266
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,1.451250244,103.8158589
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE   ,757699,,
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,1.326644245,103.882228
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,88256,1.275472526,103.8399626
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,1.372460639,103.9570203
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,1.354525171,103.8449008
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD   ,297822,1.324556058,103.8350288
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE   ,349692,1.333758002,103.8739331
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,349700,1.335660844,103.8756201
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3   ,529894,1.339506301,103.9532455
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,529896,1.34023164,103.9520801
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,,
VALOUR PRIMARY SCHOOL,49 Punggol Central   ,828728,1.407441682,103.8987622
CHIJ (KELLOCK),1 Bukit Teresa Road   ,99757,1.275022723,103.8281576
CHIJ KATONG CONVENT,346 MARINE TERRACE   ,449150,1.30644268,103.9171444
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,558979,1.357429523,103.8640094
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD   ,534793,1.373302971,103.8975757
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive   ,679287,1.366603669,103.7674122
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh   ,319765,1.332752647,103.8418473
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH   ,319764,1.332460799,103.8432716
CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY   ,548595,1.391752223,103.902465
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13   ,569405,1.373476879,103.8342533
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD   ,99138,1.275351775,103.8224407
CHONGFU SCHOOL,170 YISHUN AVENUE 6   ,768959,1.438395629,103.8393092
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21   ,529392,1.350611306,103.9513173
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17   ,737924,1.426567809,103.7934511
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,1.377758901,103.7418329
CHUA CHU KANG SECONDARY SCHOOL,31 TECK WHYE CRESCENT   ,688848,1.383334226,103.7551033
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD   ,439012,1.305091548,103.8916532
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61   ,768547,1.419226036,103.8373908
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3   ,129903,1.315063218,103.7631445
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3   ,129904,1.315539129,103.7620206
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD   ,608784,1.319203959,103.7456374
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,1.394445296,103.8978122
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT   ,545083,1.39614084,103.8998472
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4   ,689814,1.380265161,103.7365543
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24   ,648347,1.351485488,103.7075784
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD   ,247961,1.293319471,103.8175445
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24   ,609561,1.343119805,103.7426281
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT   ,479226,1.335246028,103.9212864
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD   ,479229,1.336927985,103.9270917
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31   ,659441,1.359179745,103.7484721
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,1.39470783,103.7432018
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42   ,569277,1.365997026,103.8525458
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2   ,659204,1.363579008,103.7447211
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD   ,436895,1.29996216,103.8829416
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45   ,529093,1.360652583,103.9562139
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33   ,529258,1.352684007,103.9616768
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34   ,529231,1.35622509,103.9606407
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS   ,828869,1.400091395,103.9078476
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD   ,828814,1.4005931,103.9026874
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,1.375056963,103.9452894
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link   ,757521,1.453881704,103.8171747
EUNOIA JUNIOR COLLEGE,2 Sin Ming Place   ,573838,1.362137572,103.8412862
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE   ,738908,1.444148355,103.7945453
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83   ,738489,1.441491313,103.7941378
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,1.301004419,103.7854556
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD   ,139649,1.301633744,103.7840996
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,1.312368677,103.8507664
