blk_no,street,bldg_contract_town,lat,lon,postal,full_address
1,BEACH RD,KWN,1.303671351,103.8644787,190001,1 BEACH ROAD BEACH ROAD GARDENS SINGAPORE 190001
1,BEDOK STH AVE 1,BD,1.320852087,103.9337211,460001,1 BEDOK SOUTH AVENUE 1 SINGAPORE 460001
1,CHAI CHEE RD,BD,1.327968792,103.922716,461001,1 CHAI CHEE ROAD PING YI GARDENS SINGAPORE 461001
1,CHANGI VILLAGE RD,PRC,1.388546562,103.9878045,500001,1 CHANGI VILLAGE ROAD SINGAPORE 500001
1,DELTA AVE,BM,1.292075251,103.8285841,160001,1 DELTA AVENUE SINGAPORE 160001
1,DOVER RD,QT,1.302529947,103.7832717,130001,1 DOVER ROAD DOVER COMMUNITY CENTRE SINGAPORE 130001
1,EUNOS CRES,GL,1.320657645,103.9024634,400001,1 EUNOS CRESCENT SINGAPORE 400001
1,EVERTON PK,BM,1.277426543,103.8400012,81001,1 EVERTON PARK EVERTON PARK SINGAPORE 081001
1,GHIM MOH RD,QT,1.312879757,103.786855,270001,1 GHIM MOH ROAD GHIM MOH GREEN SINGAPORE 270001
1,HAIG RD,GL,1.311290912,103.8977034,430001,1 HAIG ROAD HAIG VIEW SINGAPORE 430001
1,HOLLAND CL,QT,1.309219378,103.7967324,271001,1 HOLLAND CLOSE SINGAPORE 271001
1,HOUGANG AVE 3,HG,1.364130973,103.8930013,530001,1 HOUGANG AVENUE 3 SINGAPORE 530001
1,JLN KUKOH,CT,1.288231015,103.8399342,161001,1 JALAN KUKOH HAWKER CENTRE (BLK 1 JALAN KUKOH) SINGAPORE 161001
1,JLN BT MERAH,BM,1.28645354,103.8082424,150001,1 JALAN BUKIT MERAH BRICKWORKS ESTATE SINGAPORE 150001
1,KG KAYU RD,KWN,1.303557697,103.8837964,431001,1 KAMPONG KAYU ROAD DI TANJONG RHU SINGAPORE 431001
1,LOR 7 TOA PAYOH,TP,1.339430335,103.8534428,310001,1 LORONG 7 TOA PAYOH KIM KEAT COURT SINGAPORE 310001
1,LOR LEW LIAN,SGN,1.350867126,103.8753439,531001,1 LORONG LEW LIAN LEW LIAN GARDENS SINGAPORE 531001
1,MARINE TER,MP,1.304829022,103.918615,440001,1 MARINE TERRACE MARINE TERRACE WALK SINGAPORE 440001
1,MARSILING DR,WL,1.440671099,103.7757399,730001,1 MARSILING DRIVE MARSILING SPRING SINGAPORE 730001
1,MAUDE RD,KWN,1.307582302,103.8589674,200001,1 MAUDE ROAD SINGAPORE 200001
1,PINE CL,GL,1.307870562,103.8831922,390001,1 PINE CLOSE SINGAPORE 390001
1,QUEEN'S RD,BT,1.317266295,103.8067829,260001,1 QUEEN'S ROAD FARRER GARDENS SINGAPORE 260001
1,ST. GEORGE'S RD,KWN,1.323402637,103.8616308,320001,1 SAINT GEORGE'S ROAD SINGAPORE 320001
1,TECK WHYE AVE,CCK,1.382538829,103.7517109,680001,1 TECK WHYE AVENUE TECK WHYE HEIGHTS I SINGAPORE 680001
1,TELOK BLANGAH CRES,BM,1.279456601,103.8178976,90001,1 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090001
1,TG PAGAR PLAZA,CT,1.275688475,103.8424334,82001,1 TANJONG PAGAR PLAZA MULTI STOREY CAR PARK SINGAPORE 082001
1,THOMSON RD,KWN,1.325595948,103.8425716,300001,1 THOMSON ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 300001
1,TOH YI DR,BT,1.339581559,103.7745863,591501,1 TOH YI DRIVE NEIGHBOURHOOD POLICE POST BUKIT TIMAH SINGAPORE 591501
1A,CANTONMENT RD,CT,1.27784271,103.8409659,85101,1A CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085101
1A,EUNOS CRES,GL,1.321290305,103.9027278,401001,1A EUNOS CRESCENT SINGAPORE 401001
1A,KEMPAS RD,KWN,1.316185582,103.8593708,331001,1A KEMPAS ROAD KEMPAS RESIDENCES SINGAPORE 331001
1B,CANTONMENT RD,CT,1.277799407,103.8414034,85201,1B CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085201
1B,KEMPAS RD,KWN,1.316489016,103.8596647,332001,1B KEMPAS ROAD KEMPAS RESIDENCES SINGAPORE 332001
1C,CANTONMENT RD,CT,1.277449094,103.8416667,85301,1C CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085301
1D,CANTONMENT RD,CT,1.276920243,103.8414858,85401,1D CANTONMENT ROAD THE KIDZ ZONE PTE LTD SINGAPORE 085401
1E,CANTONMENT RD,CT,1.276621684,103.8411561,85501,1E CANTONMENT ROAD PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU BLK 1E (KN) SINGAPORE 085501
1F,CANTONMENT RD,CT,1.275986995,103.8411918,85601,1F CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085601
1G,CANTONMENT RD,CT,1.275532291,103.8412746,85701,1G CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085701
10,CHAI CHEE RD,BD,1.327275724,103.9248036,467010,10 CHAI CHEE ROAD SINGAPORE 467010
10,DAKOTA CRES,GL,1.306341146,103.8844582,390010,10 DAKOTA CRESCENT SINGAPORE 390010
10,EUNOS CRES,GL,1.322286559,103.9027205,400010,10 EUNOS CRESCENT SINGAPORE 400010
10,GLOUCESTER RD,KWN,1.313916587,103.8522098,210010,10 GLOUCESTER ROAD FARRER PARK GARDENS SINGAPORE 210010
10,HAIG RD,GL,1.314839502,103.8958652,430010,10 HAIG ROAD HAIG VIEW SINGAPORE 430010
10,HOLLAND AVE,QT,1.308149971,103.7942752,271010,10 HOLLAND AVENUE HOLLAND VISTA SINGAPORE 271010
10,JLN RUMAH TINGGI,BM,1.288200189,103.8083694,150010,10 JALAN RUMAH TINGGI RUMAH TINGGI VIEW SINGAPORE 150010
